name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Roma, Lazio, Italia",2024-09-30,23.7,11.8,17.5,23.7,11.8,17.5,9.7,61.4,0,0,0,,0,0,21.6,13.1,357.3,1020.6,8.6,10,208.2,17.8,7,,2024-09-30T07:06:11,2024-09-30T18:52:58,0.92,Clear,Clear conditions throughout the day.,clear-day,"LIRF,LIRE,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-01,23.1,12.8,18.1,23.1,12.8,18.1,12.7,72.3,0,0,0,,0,0,22,13.9,190.9,1017.2,21.2,10,194.2,16.9,6,,2024-10-01T07:07:15,2024-10-01T18:51:15,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRF,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-02,23.8,16.4,20,23.8,16.4,20,15.1,74.2,0,0,0,,0,0,40.3,24,151,1011.1,47.9,10,117.1,9.9,6,,2024-10-02T07:08:20,2024-10-02T18:49:33,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-03,22.7,16.7,20.7,22.7,16.7,20.7,18.1,85.5,13.132,100,16.67,rain,0,0,66.6,37,164.5,1003.4,67.7,9.2,58.7,5.2,3,,2024-10-03T07:09:25,2024-10-03T18:47:50,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-04,19.9,15.7,17.4,19.9,15.7,17.4,12.7,74.5,6.828,100,16.67,rain,0,0,47.2,26,201.9,1007.3,53.3,10,107,9.4,5,,2024-10-04T07:10:30,2024-10-04T18:46:09,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-05,18.8,14.6,16.3,18.8,14.6,16.3,12.3,77.8,3.427,100,8.33,rain,0,0,31,14.7,164.7,1010.6,49.5,9.9,156.7,13.7,7,,2024-10-05T07:11:35,2024-10-05T18:44:27,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LIRF,16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-10-06,20.5,10.2,15.2,20.5,10.2,15.2,11,77.9,0.149,100,8.33,rain,0,0,17.3,9.6,8,1013.5,32.6,10,162.3,14.1,7,,2024-10-06T07:12:41,2024-10-06T18:42:46,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LIRF,16217099999,16245099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-10-07,23.5,14.9,18.4,23.5,14.9,18.4,12.5,69.4,0.114,100,4.17,rain,0,0,22.3,15.5,136,1016.4,60.9,10,115.9,9.8,5,,2024-10-07T07:13:47,2024-10-07T18:41:06,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-08,23.2,16.6,19.9,23.2,16.6,19.9,15.7,77.4,7.686,100,8.33,rain,0,0,64.8,40.7,153.9,1012.9,59.1,9.7,55.2,4.8,4,,2024-10-08T07:14:53,2024-10-08T18:39:26,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-09,23.1,16.8,20.3,23.1,16.8,20.3,15.7,75.7,1.138,100,4.17,rain,0,0,30.2,17.8,171,1011.2,43.2,10,138.3,12,7,,2024-10-09T07:15:59,2024-10-09T18:37:47,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-10,24,18.8,21.1,24,18.8,21.1,17.1,78.2,0,0,0,,0,0,54.4,29.8,166.5,1006.7,54.3,10,123.1,10.6,4,,2024-10-10T07:17:06,2024-10-10T18:36:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-11,22.9,13.9,18.1,22.9,13.9,18.1,13.2,74.3,0,0,0,,0,0,15.8,11.5,88.6,1010.9,41.8,10,164.3,14.1,6,,2024-10-11T07:18:13,2024-10-11T18:34:30,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-12,23.2,12.2,16.9,23.2,12.2,16.9,11,70.9,0.046,100,4.17,rain,0,0,14.4,11.5,55.9,1017.2,22.5,10,182.9,15.8,7,,2024-10-12T07:19:20,2024-10-12T18:32:53,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-10-13,22.6,10.5,16.9,22.6,10.5,16.9,10.9,70.2,0,0,0,,0,0,20.9,11.4,297.3,1019.6,20,10,172,14.8,6,,2024-10-13T07:20:28,2024-10-13T18:31:16,0.36,Clear,Clearing in the afternoon.,clear-day,"LIRF,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-10-14,23.7,11.9,17.5,23.7,11.9,17.5,13.3,78.1,0.022,100,4.17,rain,0,0,18.4,10.8,347.5,1020.6,36.6,10,155.3,13.4,6,,2024-10-14T07:21:36,2024-10-14T18:29:41,0.4,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"LIRF,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-15,25.5,14.8,18.9,25.5,14.8,18.9,14.4,76.6,0,0,0,,0,0,13.7,10.5,21.4,1019.8,11.6,10,144,12.3,6,,2024-10-15T07:22:44,2024-10-15T18:28:06,0.43,Clear,Clear conditions throughout the day.,clear-day,"LIRF,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-16,21.9,15,18.6,21.9,15,18.6,15.5,83,0,0,0,,0,0,15.5,8.1,51.9,1020.2,58.9,9.9,48,4.2,2,,2024-10-16T07:23:53,2024-10-16T18:26:31,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRF,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-17,23.7,16.9,20.3,23.7,16.9,20.3,17.1,82.3,0.201,100,4.17,rain,0,0,36,17.1,139.3,1019.3,48.4,10,67.3,5.8,3,,2024-10-17T07:25:02,2024-10-17T18:24:58,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LIRF,16217099999,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-18,23.5,17.9,20.1,23.5,17.9,20.1,17,82.8,18.577,100,16.67,rain,0,0,34.6,30.7,172.2,1016.6,64.8,9.5,101.5,8.7,6,,2024-10-18T07:26:11,2024-10-18T18:23:26,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LIRF,16217099999,E2310,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-19,19.7,16.2,17.7,19.7,16.2,17.7,16.1,90.9,23.32,100,16.67,rain,0,0,31.7,23.8,86.4,1012.8,63.1,9.3,48.1,4.1,3,,2024-10-19T07:27:21,2024-10-19T18:21:54,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LIRF,16217099999,16245099999,16242099999,16239099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-10-20,22.1,14.3,18.5,22.1,14.3,18.5,15.3,82.7,1.274,100,4.17,rain,0,0,29.2,10.9,39.1,1018.1,56.4,10,77.1,6.8,4,,2024-10-20T07:28:30,2024-10-20T18:20:24,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LIRF,16217099999,16242099999,16239099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-10-21,25,15.1,20.3,25,15.1,20.3,15.7,76,0,0,0,,0,0,22.7,11.8,33.7,1025.5,49.4,10,112,9.6,6,,2024-10-21T07:29:41,2024-10-21T18:18:54,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRF,16217099999,16245099999,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-22,24.8,18.8,21.2,24.8,18.8,21.2,17.3,79.1,4.533,100,16.67,rain,0,0,29.5,18.7,125.4,1026.2,52.1,10,113.7,9.9,5,,2024-10-22T07:30:51,2024-10-22T18:17:26,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LIRF,16217099999,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-23,18.9,17.7,18.5,18.9,17.7,18.5,17.4,93.8,10.932,100,16.67,rain,0,0,18.4,10.6,44.5,1027.4,70,8.7,19.2,1.7,1,,2024-10-23T07:32:02,2024-10-23T18:15:58,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LIRF,16217099999,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-24,21.9,17.1,19.1,21.9,17.1,19.1,17.1,89,13.364,100,12.5,rain,0,0,23.8,13.5,132.5,1026.9,64.1,9.5,69.3,6,4,,2024-10-24T07:33:13,2024-10-24T18:14:32,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LIRF,16217099999,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-25,23.8,16.1,19,23.8,16.1,19,16.7,87.2,2.794,100,12.5,rain,0,0,23,13,130.6,1024,42.4,10,100.3,8.6,5,,2024-10-25T07:34:25,2024-10-25T18:13:07,0.76,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"LIRF,16217099999,16245099999,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-26,22.9,15.6,19.3,22.9,15.6,19.3,16.2,82.8,0,0,0,,0,0,24.5,16.9,147.5,1021.7,28.2,9.9,106,9.2,4,,2024-10-26T07:35:37,2024-10-26T18:11:43,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRF,LIRE,16217099999,16245099999,16242099999,16239099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-10-27,22.9,15.3,18.7,22.9,15.3,18.7,14.9,79.2,0.047,100,4.17,rain,0,0,22.3,16.3,134.7,1022.4,51,10,123.3,11.2,5,,2024-10-27T06:36:49,2024-10-27T17:10:20,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"LIRF,16217099999,16242099999,16239099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-10-28,23.7,13.4,17.8,23.7,13.4,17.8,14.2,80.7,0.022,100,4.17,rain,0,0,15.8,9.8,17.5,1024.9,41.8,10,138.5,12.1,5,,2024-10-28T06:38:01,2024-10-28T17:08:59,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LIRF,16217099999,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-29,22.9,13,17.3,22.9,13,17.3,14.3,83.4,0.1,100,4.17,rain,0,0,14.8,8.3,48.2,1024.4,15.9,9.9,144,12.3,6,,2024-10-29T06:39:14,2024-10-29T17:07:38,0.9,Rain,Clear conditions throughout the day with afternoon rain.,rain,"LIRF,16217099999,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-30,22,12,16.8,22,12,16.8,13.8,83.3,0.16,100,4.17,rain,0,0,14.4,9.4,8.8,1023,8.2,9.9,129.5,11.2,5,,2024-10-30T06:40:27,2024-10-30T17:06:20,0.93,Rain,Clear conditions throughout the day with morning rain.,rain,"LIRF,LIRE,16217099999,16245099999,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-10-31,22.8,11.9,16.7,22.8,11.9,16.7,13.4,81.9,0.138,100,4.17,rain,0,0,14.4,9.1,24.9,1023.5,11.3,9.4,132.5,11.6,5,,2024-10-31T06:41:40,2024-10-31T17:05:02,0.96,Rain,Clear conditions throughout the day with morning rain.,rain,"LIRF,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-01,21.9,11.2,16,21.9,11.2,16,11.9,77.6,0.046,100,4.17,rain,0,0,15.8,9.1,42,1023.9,2.7,10,141.6,12.4,6,,2024-11-01T06:42:53,2024-11-01T17:03:46,0,Rain,Clear conditions throughout the day with morning rain.,rain,"LIRF,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-11-02,20.9,10.2,15.1,20.9,10.2,15.1,10.8,77.2,0.196,100,4.17,rain,0,0,18.7,9.8,20.7,1022.2,7.2,10,138.5,12,6,,2024-11-02T06:44:07,2024-11-02T17:02:32,0.03,Rain,Clear conditions throughout the day with morning rain.,rain,"LIRF,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-11-03,21.5,9.2,14.6,21.5,8.1,14.5,10.3,76.8,0,0,0,,0,0,13.3,9.6,34.4,1023.8,0,10,113.1,9.9,5,,2024-11-03T06:45:20,2024-11-03T17:01:19,0.07,Clear,Clear conditions throughout the day.,clear-day,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-11-04,21,10,14.9,21,9.1,14.8,11.6,81.6,0.239,100,8.33,rain,0,0,14.4,8,33.8,1024.5,20.9,10,102.2,8.9,5,,2024-11-04T06:46:34,2024-11-04T17:00:07,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LIRF,LIRE,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-05,19.9,9.8,14.5,19.9,9.4,14.5,11.4,82.3,0,0,0,,0,0,11.9,8.3,28.2,1024.2,26.9,10,137.5,11.9,5,,2024-11-05T06:47:48,2024-11-05T16:58:57,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-06,20.8,9.1,14.1,20.8,8.2,14.1,10.3,79.2,0.16,100,4.17,rain,0,0,13.7,8.9,35.6,1025.6,18.5,10,127,11.1,5,,2024-11-06T06:49:02,2024-11-06T16:57:49,0.17,Rain,Clear conditions throughout the day with morning rain.,rain,"16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-07,20.5,9.8,14.6,20.5,9.1,14.6,9.8,74.3,0,0,0,,0,0,16.9,11,32.2,1026.8,26.6,10,117.2,10.2,5,,2024-11-07T06:50:16,2024-11-07T16:56:42,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-08,20.1,10.8,15,20.1,10.8,15,10.8,76.9,0.796,100,8.33,rain,0,0,18,10,27.9,1025,45.4,10,124.7,10.8,5,,2024-11-08T06:51:30,2024-11-08T16:55:37,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-09,18.8,11.3,14.8,18.8,11.3,14.8,11.1,78.8,0,0,0,,0,0,15.5,9.9,33.2,1023,41.8,10,78.7,6.8,5,,2024-11-09T06:52:45,2024-11-09T16:54:33,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRF,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-11-10,19,11.1,14.2,19,11.1,14.2,10.4,78.8,0.011,100,4.17,rain,0,0,15.1,11.2,39.1,1019.3,44.3,9.8,96.6,8.4,5,,2024-11-10T06:53:59,2024-11-10T16:53:32,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"LIRF,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-11-11,18.9,8,12.7,18.9,6.2,12.3,8.2,75.5,0,0,0,,0,0,17.3,12.5,35.6,1019.4,10.9,9.9,120.8,10.4,5,,2024-11-11T06:55:13,2024-11-11T16:52:32,0.35,Clear,Clear conditions throughout the day.,clear-day,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-12,17.2,8.3,12.1,17.2,6.7,11.7,5.6,66.4,0,0,0,,0,0,18.7,15.1,32.2,1017.4,40.5,10,111,9.5,5,,2024-11-12T06:56:27,2024-11-12T16:51:34,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRF,16245099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-13,15.1,7.4,10.8,15.1,5.8,10.3,5.4,69.9,0.009,100,4.17,rain,0,0,16.6,10.3,35.5,1019.1,42.7,10,58.1,5.1,3,,2024-11-13T06:57:41,2024-11-13T16:50:38,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LIRF,16245099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-14,11.2,6.2,8.4,11.2,3.5,7.2,5.5,82.3,0,0,0,,0,0,30.6,13.7,37,1017.5,32,10,44.6,3.8,2,,2024-11-14T06:58:55,2024-11-14T16:49:43,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRF,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-15,15.2,4.1,8.9,15.2,1.1,7.5,3,67.9,0.007,100,4.17,rain,0,0,28.4,16.5,32.5,1018.9,0.9,10,121.5,10.5,5,,2024-11-15T07:00:08,2024-11-15T16:48:51,0.5,Rain,Clear conditions throughout the day with early morning rain.,rain,"LIRF,16245099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-16,15.9,4.4,9.3,15.9,1.9,8.5,4,70.4,0,0,0,,0,0,15.5,11.8,33.8,1020.8,0,10,116.4,10,5,,2024-11-16T07:01:21,2024-11-16T16:48:01,0.52,Clear,Clear conditions throughout the day.,clear-day,"LIRF,16245099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-11-17,16.9,3.5,10,16.9,1.7,9.6,5.3,74.3,0,0,0,,0,0,11.2,9.9,89.4,1017,24.5,10,100.8,8.7,4,,2024-11-17T07:02:34,2024-11-17T16:47:12,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRF,LIRE,16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-11-18,20.6,10.2,15.2,20.6,10.2,15.2,11.3,78.3,0.8,100,29.17,rain,0,0,26.3,14.7,161.9,1012.5,44.7,9.7,67.7,6,5,,2024-11-18T07:03:47,2024-11-18T16:46:26,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LIRF,LIRE,LIRU,AT416,LIRA"
"Roma, Lazio, Italia",2024-11-19,19.6,10,15.5,19.6,10,15.5,11.5,77.7,0.7,100,29.17,rain,0,0,26.3,33.1,186.2,1011.9,42.8,9.9,101.2,8.6,6,,2024-11-19T07:04:59,2024-11-19T16:45:42,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LIRF,LIRE,LIRU,AT416,LIRA"
"Roma, Lazio, Italia",2024-11-20,19,13,16.8,19,13,16.8,11.2,69.8,2.7,100,58.33,rain,0,0,71.4,30.2,244.3,1003.8,65,8.9,21.8,2.1,1,,2024-11-20T07:06:11,2024-11-20T16:44:59,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LIRF,LIRE,LIRU,AT416,LIRA"
"Roma, Lazio, Italia",2024-11-21,16.6,6.2,11.8,16.6,6,11.6,5.3,66.9,1.8,100,12.5,rain,0,0,53.6,29,147.6,1006.3,64.4,9.9,97.3,8.5,4,,2024-11-21T07:07:22,2024-11-21T16:44:19,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LIRF,LIRE,LIRU,16242099999,16239099999,16219099999,AT416,LIRA,16224099999"
"Roma, Lazio, Italia",2024-11-22,16.2,7.3,13.5,16.2,6.3,13.2,7.8,69.5,10.109,100,16.67,rain,0,0,60.8,28.6,226.6,1003.8,48.2,9.7,67.8,5.9,7,,2024-11-22T07:08:33,2024-11-22T16:43:41,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LIRF,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-23,12.1,1.9,6.8,12.1,-0.2,5.5,-4.4,46.5,0.002,100,4.17,"rain,snow",0,0,22,11.3,31.4,1026.2,8.5,10,119.1,10.2,5,,2024-11-23T07:09:43,2024-11-23T16:43:05,0.75,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"LIRF,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-11-24,14.9,1.3,7.6,14.9,-1.2,6.5,1.3,65.3,0,0,0,,0,0,16.2,10.9,89,1033.7,10,10,108.4,9.4,5,,2024-11-24T07:10:53,2024-11-24T16:42:32,0.78,Clear,Clear conditions throughout the day.,clear-day,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-11-25,14.1,3.8,7.9,14.1,1.6,7.1,5.8,86.7,1.019,100,8.33,rain,0,0,16.9,13.2,30.5,1028.7,67.3,7.6,23.2,1.9,1,,2024-11-25T07:12:02,2024-11-25T16:42:00,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-26,19,11,14.9,19,11,14.9,12.5,86.1,1.432,100,12.5,rain,0,0,26.6,19.7,146,1023.2,49.3,9.9,90.8,7.8,5,,2024-11-26T07:13:10,2024-11-26T16:41:31,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LIRF,LIRE,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-27,18.8,10.4,15,18.8,10.4,15,12.6,85.8,0.083,100,8.33,rain,0,0,23.4,15.1,143.3,1022.8,40.6,10,64.5,5.8,3,,2024-11-27T07:14:17,2024-11-27T16:41:04,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LIRF,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-28,17.9,10.3,13.7,17.9,10.3,13.7,11.5,86.8,0.071,100,8.33,rain,0,0,19.4,8,121.6,1023.4,41.5,9.6,63.5,5.4,4,,2024-11-28T07:15:24,2024-11-28T16:40:40,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LIRF,16217099999,16242099999,16239099999,16219099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-29,16.4,8.3,12.8,16.4,6.3,12.6,9.4,80.8,0.647,100,8.33,rain,0,0,28.8,14.4,44.5,1020.8,40.5,9.9,75.9,6.6,4,,2024-11-29T07:16:29,2024-11-29T16:40:17,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LIRF,16217099999,16245099999,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-11-30,12.1,6.3,8.7,12.1,3.9,6.7,1.8,62.1,0,0,0,,0,0,45.7,35.9,10.9,1022.5,14.9,10,109.5,9.5,5,,2024-11-30T07:17:34,2024-11-30T16:39:57,0.97,Clear,Clear conditions throughout the day.,clear-day,"LIRF,LIRE,16217099999,16242099999,16239099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-12-01,14.8,5.5,9.5,14.8,3.2,8.4,3.4,66.1,0,0,0,,0,0,28.8,16.9,24.8,1019.9,18,10,99,8.6,4,,2024-12-01T07:18:37,2024-12-01T16:39:40,0,Clear,Clear conditions throughout the day.,clear-day,"LIRF,LIRE,LIRU,16217099999,16242099999,16239099999,AT416,LIRA,16224099999"
"Roma, Lazio, Italia",2024-12-02,15.1,4.1,8.8,15.1,2.3,7.8,4.9,77.8,0,0,0,,0,0,14.4,11.8,44.3,1018.8,14.1,10,98.7,8.7,4,,2024-12-02T07:19:40,2024-12-02T16:39:25,0.04,Clear,Clear conditions throughout the day.,clear-day,"LIRF,LIRE,16217099999,16245099999,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-12-03,13.8,3.9,9,13.8,2.1,8.5,6.7,85.8,0.022,100,4.17,rain,0,0,17.6,17.5,92.8,1015.1,45.9,9.7,59.4,5,4,,2024-12-03T07:20:41,2024-12-03T16:39:12,0.08,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"LIRF,LIRE,LIRU,16217099999,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-12-04,14.4,8.5,10.9,14.4,6.8,10.4,8.3,84.1,1.373,100,12.5,rain,0,0,27,16.2,41.7,1013.1,42.9,10,51,4.5,2,,2024-12-04T07:21:41,2024-12-04T16:39:01,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LIRF,LIRE,16217099999,16245099999,16242099999,16239099999,AT416,LIRA,16224099999,16234099999"
"Roma, Lazio, Italia",2024-12-05,14.1,6.4,9.6,14.1,3.9,8.1,3.2,65.3,0,0,0,,0,0,39.2,27.1,21.5,1015.5,24.9,10,100.7,8.7,4,,2024-12-05T07:22:40,2024-12-05T16:38:53,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRF,16217099999,16242099999,16239099999,AT416,16224099999,LIRA,16234099999"
